WeatherDate,LotID,WeatherType
2023-09-12,1,Cold
2022-08-17,1,Rain
2022-08-02,1,Snow
2023-09-24,1,Storm
2021-06-20,1,Rain
2023-05-30,1,Rain
2022-05-24,1,Cold
2021-11-10,1,Cold
2023-11-15,1,Snow
2022-01-19,1,Ice
2022-05-27,1,Storm
2022-07-31,1,Storm
2021-08-25,1,Ice
2022-06-25,1,Cold
2022-05-23,1,Cold
2022-02-12,1,Rain
2023-08-30,1,Snow
2021-08-01,1,Cold
2023-10-27,1,Rain
2022-01-08,1,Ice
2022-01-23,1,Rain
2021-11-02,1,Ice
2022-04-16,1,Ice
2021-09-05,1,Ice
2021-09-29,1,Ice
2023-04-03,1,Cold
2021-03-21,1,Storm
2022-07-16,1,Ice
2022-01-30,1,Rain
2021-10-28,1,Storm
2021-03-26,2,Rain
2021-01-03,2,Storm
2021-04-18,2,Snow
2022-10-22,2,Rain
2022-03-12,2,Rain
2022-08-09,2,Snow
2023-08-26,2,Storm
2022-07-29,2,Storm
2021-07-27,2,Cold
2023-06-03,2,Rain
2022-01-15,2,Rain
2022-06-02,2,Snow
2023-10-05,2,Snow
2023-01-16,2,Ice
2022-11-17,2,Ice
2022-09-17,2,Cold
2021-08-18,2,Storm
2021-07-19,2,Snow
2021-01-29,2,Storm
2021-09-25,2,Rain
2022-11-11,2,Storm
2023-01-10,2,Storm
2023-01-12,2,Cold
2023-12-21,2,Snow
2023-02-02,2,Ice
2022-05-04,2,Snow
2022-07-21,2,Ice
2022-03-08,2,Ice
2023-02-27,2,Cold
2021-06-29,2,Rain
2023-06-14,3,Snow
2021-05-20,3,Storm
2023-09-17,3,Snow
2023-05-10,3,Rain
2023-12-10,3,Snow
2023-10-30,3,Cold
2021-02-15,3,Snow
2021-12-09,3,Snow
2022-07-17,3,Ice
2021-09-23,3,Ice
2022-08-18,3,Storm
2021-04-05,3,Ice
2021-05-06,3,Ice
2022-01-26,3,Snow
2023-03-27,3,Rain
2023-10-12,3,Storm
2023-12-28,3,Storm
2023-11-19,3,Rain
2021-06-04,3,Snow
2021-12-06,3,Storm
2023-06-17,3,Ice
2023-11-11,3,Rain
2023-02-27,3,Storm
2023-03-12,3,Ice
2023-04-02,3,Storm
2022-07-12,3,Ice
2022-03-01,3,Rain
2022-01-13,3,Storm
2021-01-09,3,Storm
2021-11-25,3,Snow
